Customer_ID,First_Name,M_init,Last_Name,Phone_Number,Billing_street,Billing_city,Billing_state,Billing_zip,Shipping_street,Shipping_city,Shipping_state,Shipping_zip,email,password,card_number,card_sec_code,card_expiration_date,card_owner_name
0,Vanessa,P,Gonzalez,7039941328,682 Ortiz Road Suite 637,West Kevin,AZ,86333,6185 Wright Streets Suite 638,Lake Thomasville,OR,97499,rebecca22@yahoo.com,Rz5V0ovu%_#CZ1Xle*S)!mfk,180085716542470,169,2029-12-18,Bobby Jarvis
1,Cynthia,E,Glover,6854659558,881 Kathleen Cliff,North Karenfurt,NE,68090,99417 Lauren Locks,New Elizabethtown,FL,33898,amberbaldwin@yahoo.com,r_0Q4%tH3s#d@syj^YCQXRfT,502066797338,913,2028-05-25,Dr. Bruce Murphy
2,Andrew,V,Jones,5686482870,53331 Brock Hill Suite 168,Jamesmouth,WI,54672,439 Rebecca Avenue Suite 837,Santiagoshire,SD,57701,donaldblackburn@yahoo.com,UI_(GGCvu2cilRuce^99IbiO,4891363048489435,459,2026-05-28,Karen Armstrong
3,Adam,Q,Kramer,5846513708,1488 Hodges Islands,Jocelynfort,MD,21364,5104 Patrick Flat Suite 946,Dawnton,AL,36346,timothybartlett@gmail.com,UeQ5E4qD*$GbGPN#RMY4ROxj,30196945951853,684,2030-03-17,Jessica Reed
4,Jennifer,U,Torres,5917543940,803 Vanessa Grove Apt. 701,Maryfurt,DE,19785,6545 Wesley Rest,Porterton,TX,79281,laura88@hotmail.com,o)VDsS@EVko67mQLX59p0UhW,4445638846744,1758,2023-07-28,Veronica Hunt
5,Jennifer,B,Morrow,5650234791,0770 Garza Highway,Krystalstad,AR,72007,4057 Cindy Haven,Jeffreychester,CO,81105,fernando01@hotmail.com,_^+)7Ek%H)JL8(fgip&YFYMs,180093435906984,553,2026-03-16,Kenneth Williams
6,Veronica,A,Johnson,6310977316,16496 Martin Knolls,North Nathanburgh,MS,39004,5428 Christopher Canyon,Port Andrewville,IA,52035,ryan07@hotmail.com,^HH@8hx28^kIOy9KBA3EZDBx,4179535780477095151,876,2031-11-01,Brian Hensley
7,Shawn,G,Barber,1611534399,783 Washington Ramp,West Sarahville,PA,15148,78005 Lin Terrace Apt. 246,New Sherri,NJ,07135,nrodriguez@hotmail.com,*nhTpQHJoswCJCxx19A2U*kQ,2708238718748517,531,2022-12-12,Michael Chandler
8,Whitney,C,Kidd,0969139035,249 Anderson Overpass,Brentchester,NC,27949,611 Dennis Canyon,Lake Donaldstad,DE,19826,johnjones@gmail.com,G+3CQ^h1vDQ9Q5gzqT0S1Ygc,4694827618653707030,691,2028-09-23,Grant Morton
9,Richard,Y,Klein,9459490731,77390 Daniel Brook,West Daniel,NC,28393,39171 Ricardo Mills,Andersonmouth,SC,29591,stevensaustin@yahoo.com,hc^3TRzck9)VW)XU4+*IwXf),4973308135879437,839,2025-08-13,Teresa Sims
10,Amy,Q,Howard,4571346561,075 Hernandez Greens,Ashleyborough,UT,84167,0910 Molly Inlet Suite 177,Mindytown,DE,19926,msanders@yahoo.com,ctg%x9NrC&DbK5VuC^wiWnyV,38243206526149,290,2030-05-11,Harold Robinson
11,Angela,H,Ingram,2995896587,914 Renee Canyon,Lake Elaine,WA,99081,54345 Myers Island,Suttonton,NH,03347,luke22@hotmail.com,&SWA2wfdHzN^si(7M8gSXhmQ,4622569814217170467,653,2032-04-25,Richard Marshall
12,Michael,F,Mclaughlin,4968132590,2166 King Spurs,South John,MN,55537,3103 Doyle Stream,North Rhonda,NH,03434,amanda29@hotmail.com,(G%K%8aMM91zv+iDqJ&qYxO*,4436926994452,510,2030-07-08,Sarah Baxter
13,David,N,Mcdaniel,1914346537,262 Amanda Place Suite 895,West Christinestad,OH,43306,21513 Marshall Parkway Apt. 847,Ericaberg,SC,29083,lloydearl@gmail.com,xGq$hxZr9eg0m1Juowi(YGY!,676296514414,987,2023-09-21,Alex Davis
14,Benjamin,R,Mitchell,2004183254,98309 Bell Falls Suite 045,West Patrickfort,SD,57445,0407 Dalton Circle Apt. 300,Lake Jacob,NY,13933,sandra03@gmail.com,WV*PYS6u&Z)l2f)ziG&KpdKo,3557108567915865,016,2029-08-04,Michael Gutierrez
15,Denise,O,Martin,6359004445,122 Kristin Squares Apt. 020,Mitchellview,NV,89684,44476 Matthew Haven Apt. 304,West Robert,DC,20001,samantha15@yahoo.com,$#OJ!Q6IxwH4z9_oK_u3E@If,371788517649597,422,2024-06-15,Lucas Edwards
16,Paul,Z,Hill,6798773170,832 Daniel Greens,New Erika,ND,58103,92329 Martin Bridge,Lisaberg,OK,73181,iclark@gmail.com,*NzR!eWyc8wlMNno#cUSxhwA,3598103152236471,455,2022-11-16,Ms. Amy Long
17,Jeffrey,L,Sanchez,3812550405,5798 Elliott Port,Nicholeville,NY,14173,0195 Andrew Street,South Roberthaven,MI,49656,jamesallison@gmail.com,F+k02(ZZ8+^m@**!@0nT0%us,3591463411691305,918,2029-02-12,Michael Ortega
18,Cheryl,A,Dennis,0869125886,146 Jackson Junction,Parkville,WV,25056,2470 Joe Way,West Alan,OR,97492,matthewarmstrong@yahoo.com,mvqA+Lc#m7QTCekR%4wGTIsT,4438287608445125,301,2024-10-19,Stephanie George
19,Samantha,T,Weber,7336339457,72183 Scott Mountains,Sydneyton,MI,49291,453 Rodney Isle,Port Timothy,KY,42664,blacksamuel@gmail.com,m+z1ot3ryCpUPILVlU7kQ@pP,502013901488,173,2032-05-14,April Daugherty
