Order_ID,Administrator_SSN,Publisher_ID,ISBN,Quantity,Total_cost,Order_date
564,111111111,1,0782140661,45,100.1,12/13/2019
289,111111112,2,0072227885,34,12.61,5/1/2019
260,111111113,3,0471200247,30,84.67,4/1/2019
72,111111114,4,0072227710,7,16.8,1/25/2019
833,111111115,5,1558605525,18,40.54,9/26/2019
204,111111111,6,0972263608,43,37.34,5/12/2019
635,111111112,7,0201615762,27,73.35,12/23/2019
964,111111113,8,0782140114,2,32.93,8/15/2019
936,111111114,9,0321125169,19,83.84,6/25/2019
98,111111115,10,0805317554,45,77.43,9/7/2019
428,111111111,11,1861004486,29,33.43,7/30/2019
895,111111112,12,0735712123,48,96.66,4/23/2019
448,111111113,13,0425188361,28,96.79,3/5/2019
15,111111114,14,0142001740,6,10.44,12/7/2019
75,111111115,15,0596004478,46,60.95,3/8/2019
593,111111111,16,0071414339,43,53.61,1/1/2019
477,111111112,17,0312311354,7,71.81,4/3/2019
859,111111113,18,0312287941,49,47.95,2/14/2019
140,111111114,19,0312243022,23,44.59,1/11/2019
555,111111115,20,0609610570,5,40.98,3/14/2019
